Stadt,"Post-leitzahl 1)","Fläche in km2 2)",weiblich
"Salzkotten, Stadt",33154,109.8,12685
"Roth, St",91154,96.33,12857
"Warstein, Stadt",59581,158.03,12516
"Sprockhövel, Stadt",45549,47.94,12958
"Bad Oldesloe, Stadt",23843,52.6,12825
"Ingelheim am Rhein, Stadt",55218,49.86,12661
"Schmallenberg, Stadt",57392,303.1,12308
"Saalfeld/Saale, Stadt",7318,48.73,12919
"Harsewinkel, Die Mähdrescherstadt",33428,100.59,12278
"Delitzsch, Stadt",4509,85.92,12675
"Weingarten, Stadt",88250,12.16,12918
"Schleswig, Stadt",24837,24.3,12702
"Senftenberg, Stadt",1968,127.56,12710
"Espelkamp, Stadt",32339,84.21,12674
"Ditzingen, Stadt",71254,30.38,12433
"Groß-Gerau, Stadt",64521,54.48,12412
"Horb am Neckar, Stadt",72160,119.76,12206
"Pfungstadt, Stadt",64319,42.53,12505
"Ellwangen (Jagst), Stadt",73479,127.38,12177
"Obertshausen, Stadt",63179,13.62,12597
"Idstein, Hochschulstadt",65510,79.69,12716
"Lüdinghausen, Stadt",59348,140.54,12341
"Meckenheim, Stadt",53340,34.84,12564
"Olpe, Stadt",57462,85.88,12580
"Geretsried, St",82538,24.6,12427
"Markkleeberg, Stadt",4416,31.44,12784
"Quedlinburg, Welterbestadt",6484,120.44,12793
"Arnstadt, Stadt",99310,55.08,12481
"Syke, Stadt",28857,128.11,12280
"Attendorn, Hansestadt",57439,97.95,12118
"Rathenow, Stadt",14712,113.1,12471
"Salzwedel, Hansestadt",29410,304.58,12171
"Stutensee, Stadt",76297,45.68,12219
"Übach-Palenberg, Stadt",52531,26.12,12031
"Limbach-Oberfrohna, Stadt",9212,50.21,12412
"Ronnenberg, Stadt",30952,37.89,12114
"Eisleben, Lutherstadt",6295,143.87,12248
"Varel, Stadt",26316,113.75,12290
"Waldshut-Tiengen, Stadt",79761,77.97,12135
"Döbeln, Stadt",4720,91.74,12125
"Sonneberg, Stadt",96515,84.69,12253
"Hann. Münden, Stadt",34346,121.16,12076
"Öhringen, Stadt",74613,67.79,11909
"Haren (Ems), Stadt",49733,208.79,11759
"Sehnde, Stadt",31319,103.58,11693
"Korbach, Hansestadt, Kreisstadt",34497,123.98,12100
"Bedburg, Stadt",50181,80.42,11671
"Dillenburg, Stadt",35683,83.89,11928
"Warburg, Hansestadt",34414,168.84,11774
"Netphen, Stadt",57250,137.39,11674
"Riedstadt, Stadt",64560,73.73,11722
"Helmstedt, Stadt",38350,47.14,11989
"Bad Mergentheim, Stadt",97980,129.96,11962
"Starnberg, St",82319,61.85,12303
"Calw, Stadt",75365,59.88,11432
"Walsrode, Stadt",29664,272.29,11706
"Mosbach, Stadt",74821,62.17,11644
"Husum, Stadt",25813,25.81,12022
"Herzogenaurach, St",91074,47.62,11487
"Wertheim, Stadt",97877,138.59,11564
"Waldkraiburg, St",84478,21.56,11558
"Glauchau, Stadt",8371,51.62,11649
"Burg, Stadt",39288,164.05,11282
"Gardelegen, Hansestadt",39638,632.43,11415
"Gelnhausen, Barbarossast., Krst.",63571,45.19,11572
"Freudenstadt, Stadt",72250,87.54,11737
"Herdecke, Stadt",58313,22.39,11927
"Spremberg, Stadt",3130,202.32,11685
"Rudolstadt, Stadt",7407,55.41,11685
"Vreden, Stadt",48691,135.83,11078
"Überlingen, Stadt",88662,58.66,12056
"Lengerich, Stadt",49525,90.79,11385
"Leutkirch im Allgäu, Stadt",88299,174.98,11217
"Radevormwald, Stadt auf der Höhe",42477,53.86,11512
"Westerstede, Stadt",26655,179.55,11427
"Bad Soden am Taunus, Stadt",65812,12.55,11698
"Donaueschingen, Stadt",78166,104.67,11034
"Weilheim i.OB, St",82362,55.5,11599
"Apolda, Stadt",99510,46.27,11313
"Karben, Stadt",61184,43.94,11132
"Stadthagen, Stadt",31655,60.27,11443
"Senden, St",89250,25.21,11310
"Gersthofen, St",86368,34.01,11136
"Friesoythe, Stadt",26169,247.49,10948
"Osterode am Harz, Stadt",37520,102.54,11085
"Sondershausen, Stadt",99706,201.21,11187
"Bad Harzburg, Stadt",38667,65.52,11709
"Nagold, Stadt",72202,63.09,11028
"Eckernförde, Stadt",24340,21.38,11513
"Büdingen, Stadt",63654,122.88,10892
"Bad Kissingen, GKSt",97688,69.92,11801
"Zerbst/Anhalt, Stadt",39261,467.77,11123
"Neusäß, St",86356,25.22,11368
"Waldkirch, Stadt",79183,48.47,11205
"Laupheim, Stadt",88471,61.79,10881
"Metzingen, Stadt",72555,34.55,11060
"Halle (Westf.), Stadt",33790,69.7,10928
"Büren, Stadt",33142,170.99,10483
"Hockenheim, Stadt",68766,34.84,10780
"Schwetzingen, Stadt",68723,21.62,11127
"Xanten, Stadt",46509,72.43,10947
"Rotenburg (Wümme), Stadt",27356,99.06,10975
"Versmold, Stadt",33775,85.57,10675
"Heide, Stadt",25746,31.97,11321
"Sonthofen, St",87527,46.55,11225
"Eppingen, Stadt",75031,88.58,10765
"Stadtallendorf, Stadt",35260,78.29,10748
"Wipperfürth, Hansestadt",51688,118.3,10811
"Waren (Müritz), Stadt",17192,159.46,11306
"Soltau, Stadt",29614,203.77,10875
"Puchheim, St",82178,12.24,10985
"Wülfrath, Stadt",42489,32.27,10889
"Elsdorf, Stadt",50189,66.17,10814
"Eschborn, Stadt",65760,12.13,10821
"Meiningen, Stadt",98617,59.46,10771
"Seligenstadt, Stadt",63500,30.85,10887
"Rees, Stadt",46459,109.86,10736
"Aichach, St",86551,92.84,10824
"Geseke, Stadt",59590,97.88,10630
"Flörsheim am Main, Stadt",65439,22.95,10801
"Reichenbach im Vogtland, Stadt",8468,34.46,10938
"Groß-Umstadt, Stadt",64823,86.84,10607
"Schramberg, Stadt",78713,80.7,10511
"Bad Rappenau, Stadt",74906,73.56,10622
"Greiz, Stadt",7973,76.44,10790
"Fröndenberg/Ruhr, Stadt",58730,56.23,10623
"Werdau, Stadt",8412,65.63,10667
"Traunreut, St",83301,45.06,10570
"Kitzingen, GKSt",97318,46.99,10722
"Blieskastel, Stadt",66440,108.21,10524
"Kaltenkirchen, Stadt",24568,23.1,10633
"Coswig, Stadt",1640,25.88,10847
"Waghäusel, Stadt",68753,42.84,10475
"Quickborn, Stadt",25451,43.17,10702
"Germersheim, Stadt",76726,21.68,10316
"Duderstadt, Stadt",37115,95.64,10528
"Meinerzhagen, Stadt",58540,115.67,10318
"Herborn, Stadt",35745,63.8,10494
"Burgwedel, Stadt",30938,152.85,10779
"Luckenwalde, Stadt",14943,46.61,10559
"Enger, Widukindstadt",32130,41.24,10409
"Bruchköbel, Stadt",63486,29.69,10457
"Wittmund, Stadt",26409,210.15,10375
"Neustrelitz, Stadt",17235,139.86,10533
"Schortens, Stadt",26419,68.8,10436
"Eislingen/Fils, Stadt",73054,16.41,10365
"Stadtlohn, Stadt",48703,79.25,10126
"Dillingen/ Saar, Stadt",66763,22.05,10443
"Rheinstetten, Stadt",76287,32.31,10423
"Annaberg-Buchholz, Stadt",9456,28.15,10545
"Günzburg, GKSt",89312,55.4,10302
"Mössingen, Stadt",72116,50.03,10439
"Blankenburg (Harz), Stadt",38889,148.94,10449
"Holzminden, Stadt",37603,88.24,10224
"Bad Schwartau, Stadt",23611,18.39,10732
"Bad Waldsee, Stadt",88339,108.55,10295
"Lichtenfels, St",96215,122.16,10190
"Torgau, Stadt",4860,102.8,10121
"Nidderau, Stadt",61130,46.73,10076
"Hörstel, Stadt",48477,107.54,9970
"Nördlingen, GKSt",86720,68.09,10118
"Zülpich, Stadt",53909,101.01,10178
"Schifferstadt, Stadt",67105,28.06,10056
"Traunstein, GKSt",83278,48.57,10408
"Ennigerloh, Stadt",59320,125.56,9961
"Oberkirch, Stadt",77704,69.09,10032
"Oschersleben (Bode), Stadt",39387,188.92,10168
"Marsberg, Stadt",34431,182.22,9706
"Donauwörth, GKSt",86609,77.04,9848
"Eschwege, Kreisstadt",37269,63.27,10174
"Telgte, Stadt",48291,90.84,10191
"Gerlingen, Stadt",70839,17.01,10069
"Mühldorf a.Inn, St",84453,29.42,9910
"Schopfheim, Stadt",79650,67.94,10132
"Ochtrup, Stadt",48607,105.63,9655
"Giengen an der Brenz, Stadt",89537,44.07,9784
"Wildeshausen, Stadt",27793,89.7,9880
"Sulzbach-Rosenberg, St",92237,53.12,9870
"Bückeburg, Stadt",31675,68.9,10041
"Borna, Stadt",4552,62.44,9997
"Haiger, Stadt",35708,106.67,9762
"Seesen, Stadt",38723,102.32,9951
"Dingolfing, St",84130,44,9271
"Waldbröl, Stadt",51545,63.32,9877
"Prenzlau, Stadt",17291,142.96,9994
"Bad Berleburg, Stadt",57319,275.52,9586
"Sarstedt, Stadt",31157,43,9784
"Haldensleben, Stadt",39340,156.2,9662
"Rhede, Stadt",46414,78.9,9664
"Korntal-Münchingen, Stadt",70825,20.71,9649
"Schenefeld, Stadt",22869,9.99,9823
"Bad Pyrmont, Stadt",31812,61.99,10112
"Schmalkalden, Kurort, Stadt",98574,98.3,9420
"Bad Krozingen, Stadt",79189,35.65,9932
"Bad Friedrichshall, Stadt",74177,24.71,9448
"Alfeld (Leine), Stadt",31061,72.88,9694
"Hechingen, Stadt",72379,66.41,9605
"Mayen, Stadt",56727,58.19,9571
"Weil der Stadt, Stadt",71263,43.17,9503
"Crimmitschau, Stadt",8451,61.15,9825
"Mölln, Stadt",23879,25.05,9901
"Bergneustadt, Stadt",51702,37.89,9677
"Heusenstamm, Stadt",63150,19.03,9571
"Tettnang, Stadt",88069,71.25,9482
"Müllheim, Stadt",79379,57.91,9740
"Sömmerda, Stadt",99610,81.11,9614
"Hemmingen, Stadt",30966,31.73,9674
"Lebach, Stadt",66822,64.21,9288
"Auerbach/Vogtl., Stadt",8209,55.52,9736
"Wittlich, Stadt",54516,49.63,9306
"Püttlingen, Stadt",66346,23.95,9656
"Vlotho, Stadt",32602,76.93,9376
"Forst (Lausitz), Stadt",3149,110.7,9575
"Schneverdingen, Stadt",29640,234.92,9571
"Leinefelde-Worbis, Stadt",37327,96.87,9341
"Bremervörde, Stadt",27432,150.42,9228
"Bad Dürkheim, Stadt",67098,102.55,9822
"Bad Aibling, St",83043,41.4,9637
"Dillingen a.d.Donau, GKSt",89407,75.59,9409
"Bad Tölz, St",83646,30.8,9682
"Wolfratshausen, St",82515,9.13,9531
"Radeberg, Stadt",1454,29.83,9382
"Alzenau, St",63755,59.3,9423
"Burghausen, St",84489,19.81,9454
"Marktoberdorf, St",87616,95.15,9278
"Sachsenheim, Stadt",74343,57.92,9263
"Kolbermoor, St",83059,19.83,9380
"Bad Driburg, Stadt4)",33014,115.3,/
"Glinde, Stadt",21509,11.22,9339
"Burscheid, Stadt",51399,27.33,9238
"Kronberg im Taunus, Stadt",61476,18.62,9690
"Uetersen, Stadt",25436,11.43,9308
"Großenhain, Stadt",1558,130.36,9272
"Weißenburg i.Bay., GKSt",91781,97.58,9301
"Pfullingen, Stadt",72793,30.14,9384
"Konz, Stadt",54329,44.56,9300
"Moosburg a.d.Isar, St",85368,43.85,9057
"Hessisch Oldendorf, Stadt",31840,120.32,9206
"Zossen, Stadt",15806,180.4,9084
"Alzey, Stadt",55232,35.22,9141
"Pohlheim, Stadt",35415,38,9234
"Schwalmstadt, Stadt",34613,84.74,8911
"Lahnstein, Stadt",56112,37.62,9353
"Vellmar, Stadt",34246,13.97,9539
"Wassenberg, Stadt",41849,42.43,9127
"Parchim, Stadt",19370,124.82,9245
"Buchen (Odenwald), Stadt",74722,138.93,9055
"Schkeuditz, Stadt",4435,81.47,8680
"Werdohl, Stadt",58791,33.39,9023
"Bexbach, Stadt",66450,31.09,9067
"Frankenberg (Eder), Stadt",35066,124.87,8948
"Wörth am Rhein, Stadt",76744,131.62,9031
"Bad Reichenhall, GKSt",83435,41.92,9302
"Freudenberg, Stadt",57258,54.6,8880
"Thale, Stadt",6502,137.58,8958
"Oberasbach, St",90522,12.08,9130
"Renningen, Stadt",71272,31.15,8731
"Sinzig, Stadt",53489,41.1,8964
"Sigmaringen, Stadt",72488,92.84,8494
"Guben, Stadt",3172,43.99,9112
"Nauen, Stadt",14641,268.14,8785
"Bad Segeberg, Stadt",23795,18.87,9062
"Bad Saulgau, Stadt",88348,97.33,8929
"Bad Langensalza, Stadt",99947,123.67,8881
"Bad Münder am Deister, Stadt",31848,107.97,8895
"Hochheim am Main, Stadt",65239,19.43,8908
"Wittenberge, Stadt",19322,50.63,8944
"Nidda, Stadt",63667,118.35,8618
"Bad Münstereifel, Stadt",53902,150.83,8850
"Marktredwitz, GKSt",95615,49.52,8981
"Oerlinghausen, Stadt",33813,32.69,8812
"Marienberg, Stadt",9496,133.5,8701
"Horn-Bad Meinberg, Stadt",32805,90.15,8866
"Altena, Stadt",58762,44.42,8711
"Schwarzenberg/Erzgeb., Stadt",8340,46.31,8985
"Gescher, Glockenstadt",48712,80.84,8514
"Bobingen, St",86399,50.25,8647
"Illertissen, St",89257,36.39,8721
"Garching b.München, St",85748,28.17,8270
"Bad Säckingen, Stadt",79713,25.34,8800
"Eutin, Stadt",23701,41.4,9006
"Eltville am Rhein, Stadt",65343,46.77,8766
"Bad Wildungen, Stadt",34537,120.08,8655
"Heilbad Heiligenstadt, Stadt",37308,62.26,8497
"Damme, Stadt",49401,104.39,8444
"Schrobenhausen, St",86529,75.26,8572
"Kronach, St",96317,66.98,8689
"Stockach, Stadt",78333,69.73,8485
"Bendorf, Stadt",56170,24.12,8584
"Babenhausen, Stadt",64832,66.87,8304
"Cham, St",93413,80.69,8437
"Weißwasser/O.L., Stadt",2943,63.42,8698
"Freilassing, St",83395,14.81,8588
"Diepholz, Stadt",49356,104.68,8365
"Gunzenhausen, St",91710,82.72,8620
"Finsterwalde, Stadt",3238,77.21,8604
"Penzberg, St",82377,25.73,8404
"Königstein im Taunus, Stadt",61462,25.07,8704
"Kelheim, St",93309,76.7,8198
"Remagen, Stadt",53424,33.21,8375
"Brakel, Stadt",33034,173.92,8156
"Sulzbach/ Saar, Stadt",66280,16.07,8379
"Kirchhain, Stadt",35274,90.92,8287
"Heidenau, Stadt",1809,11.07,8321
"Trossingen, Stadt",78647,24.2,8172
"Ginsheim-Gustavsburg, Stadt",65462,13.94,8344
"Hünfeld, Konrad-Zuse-Stadt",36088,119.77,8106
"Wurzen, Stadt",4808,69.04,8491
"Wendlingen am Neckar, Stadt",73240,12.15,8198
"Kierspe, Stadt",58566,71.91,8223
"Schwarzenbek, Stadt",21493,11.56,8261
"Halver, Stadt",58553,77.23,8292
"Reinheim, Stadt",64354,27.7,8250
"Vilshofen an der Donau, St",94474,86.29,8178
"Aue, Stadt",8280,20.92,8478
"Bürstadt, Stadt",68642,34.46,8132
"Bargteheide, Stadt",22941,15.82,8397
"Templin, Stadt",17268,379.49,8268
"Zeulenroda-Triebes, Stadt",7937,135.14,8303
"Lübbenau/Spreewald, Stadt",3222,139.4,8286
"Michelstadt, Stadt",64720,86.98,8127
"Preetz, Stadt",24211,14.4,8395
"Erwitte, Stadt",59597,89.41,8111
"Kelsterbach, Stadt",65451,15.37,7771
"Raunheim, Stadt",65479,12.61,7970
"Alsfeld, Stadt",36304,129.69,8102
"Freiberg am Neckar, Stadt",71691,13.14,8121
"Brackenheim, Stadt",74336,45.75,7938
"Schlüchtern, Stadt",36381,113.31,8063
"Straelen, Stadt",47638,74.04,7958
"Königslutter am Elm, Stadt",38154,131.12,8051
"Blaustein, Stadt",89134,55.61,7933
"Wadern, Stadt",66687,111.14,7976
"Bassum, Stadt",27211,168.85,7929
"Bad Wörishofen, St",86825,57.79,8286
"Bad Salzungen, Stadt",36433,39.04,8004
"Bad Lippspringe, Stadt",33175,51.01,8062
"Marbach am Neckar, Stadt",71672,18.06,8006
"Dieburg, Stadt",64807,23.08,7974
"Eilenburg, Stadt",4838,46.84,8058
"Weener, Stadt",26826,81.23,7786
"Clausthal-Zellerfeld, Berg- und Universitätsstadt",38678,43.69,6842
"Bad Arolsen, Stadt",34454,126.38,7868
"Markranstädt, Stadt",4420,58.46,7969
"Pocking, St",94060,68.86,7956
"Drensteinfurt, Stadt",48317,106.6,7792
"Walldorf, Stadt",69190,19.91,7721
"Schwalbach am Taunus, Stadt",65824,6.47,8020
"Rahden, Stadt",32369,137.48,7672
"Füssen, St",87629,43.48,8019
"Boppard, Stadt",56154,74.88,7867
"Breisach am Rhein, Stadt",79206,54.59,7764
"Ebersbach an der Fils, Stadt",73061,26.26,7722
"Taucha, Stadt",4425,33.23,7906
"Bad Bentheim, Stadt",48455,99.99,7730
"Bad Neustadt a.d.Saale, St",97616,36.89,7944
"Blomberg, Stadt",32825,99.1,7640
"Altdorf b.Nürnberg, St",90518,48.59,7748
"Hofgeismar, Stadt",34369,86.39,7874
"Künzelsau, Stadt",74653,75.17,7554
"Eppelheim, Stadt",69214,5.7,7747
"Hückeswagen, Schloss-Stadt",42499,50.52,7654
"Neustadt in Holstein, Stadt",23730,19.74,8021
"Ribnitz-Damgarten, Stadt",18311,122.83,7979
"Neustadt b.Coburg, GKSt",96465,61.89,7770
"Ober-Ramstadt, Stadt",64372,41.88,7710
"Kamenz, Stadt",1917,53.25,7705
"Brake (Unterweser), Stadt",26919,38.3,7764
"Lohr a.Main, St",97816,90.42,7649
"Witzenhausen, Stadt",37213,126.69,7742
"Hilchenbach, Stadt",57271,81.12,7588
"Landsberg, Stadt",6188,125.38,7501
"Löbau, Stadt",2708,78.9,7729
"Selb, GKSt",95100,86.07,7729
"Schriesheim, Stadt",69198,31.61,7712
"Munster, Stadt",29633,194.52,7252
"Mainburg, St",84048,61.53,7353
"Mittweida, Stadt, Hochschulstadt",9648,41.26,7497
"Langenau, Stadt",89129,75.03,7416
"Karlstadt, St",97753,98.14,7547
"Stadtbergen, St",86391,11.49,7662
"Gehrden, Stadt",30989,43.24,7743
"Hohenstein-Ernstthal, Stadt",9337,18.58,7723
"Lauchhammer, Stadt",1979,88.9,7588
"Markgröningen, Stadt",71706,28.15,7304
"Mindelheim, St",87719,56.42,7409
"Olsberg, Stadt",59939,118,7421
"Fritzlar, Dom- und Kaiserstadt",34560,88.78,7460
"Kraichtal, Stadt",76703,80.59,7386
"Neu-Anspach, Stadt",61267,36.14,7446
"Spenge, Stadt",32139,40.35,7508
"Eberbach, Stadt",69412,81.15,7605
"Meerane, Stadt",8393,19.81,7631
"Oschatz, Stadt",4758,55.44,7464
"Lauda-Königshofen, Stadt",97922,94.44,7328
"Ottweiler, Stadt",66564,45.56,7319
"Bad Wurzach, Stadt",88410,182.24,7131
"Bitburg, Stadt",54634,47.55,7545
"Sandersdorf-Brehna, Stadt",6792,81.84,7437
"Ratzeburg, Stadt",23909,30.29,7666
"Dorfen, St",84405,99.56,7225
"Dippoldiswalde, Stadt",1744,103.99,7305
"Pattensen, Stadt",30982,67.13,7406
"Hettstedt, Stadt",6333,36.93,7358
"Genthin, Stadt",39307,230.73,7250
"Sassenberg, Stadt",48336,78.08,7133
"Rotenburg a. d. Fulda, Stadt",36199,79.83,7192
"Uslar, Stadt",37170,113.58,7286
"Uhingen, Stadt",73066,24.79,7229
"Münsingen, Stadt",72525,116.93,7248
"Wittstock/Dosse, Stadt",16909,420.24,7248
"Frankenberg/Sa., Stadt",9669,65.62,7196
"Jessen (Elster), Stadt",6917,352.12,7153
"Usingen, Stadt",61250,55.83,7222
"Immenstadt i.Allgäu, St",87509,81.43,7286
"Gernsbach, Stadt",76593,82.03,7218
"Jever, Stadt",26441,42.23,7434
"Erlensee, Stadt",63526,18.59,7162
"Schneeberg, Stadt",8289,23.35,7286
"Wanzleben-Börde, Stadt",39164,188.07,7068
"Bad Camberg, Stadt",65520,54.63,7169
"Bad Bramstedt, Stadt",24576,24.14,7174
"Lauterbach (Hessen), Kreisstadt",36341,102,7122
"Plochingen, Stadt",73207,10.64,7136
"Wilsdruff, Stadt",1723,81.6,7075
"Bebra, Stadt",36179,93.64,7071
"Murrhardt, Stadt",71540,71.15,7048
"Homberg (Efze), Reformationsstadt, Kreisstadt",34576,99.99,6999
"Leuna, Stadt",6237,87.71,6974
"Oberndorf am Neckar, Stadt",78727,55.92,6971
"Langenselbold, Stadt",63505,26.26,7113
"Oebisfelde-Weferlingen, Stadt",39646,249.31,6891
"Kalkar, Stadt",47546,88.2,6998
"Lübben (Spreewald), Stadt",15907,120.85,7192
"Isny im Allgäu, Stadt",88316,85.39,6974
"Schwabmünchen, St",86830,55.5,7027
"Stein, St",90547,19.51,7255
"Markdorf, Stadt",88677,40.91,7017
"Bad Laasphe, Stadt",57334,135.95,6862
"Angermünde, Stadt",16278,324.2,7174
"Neustadt a.d.Donau, St",93333,93.53,6742
"Zeven, Stadt",27404,74.14,6815
"Grünberg, Stadt",35305,89.24,6942
"Biedenkopf, Stadt",35216,90.33,6886
"Eppstein, Stadt",65817,24.21,6955
"Aßlar, Stadt",35614,43.57,6902
"Melsungen, Stadt",34212,63.1,6917
"Abensberg, St",93326,60.27,6594
"Bergen auf Rügen, Stadt",18528,51.49,7084
"Schwentinental, Stadt",24223,17.82,7014
"Neutraubling, St",93073,9.75,6907
"Südliches Anhalt, Stadt",6369,191.54,6836
"Eggenfelden, St",84307,44.35,6893
"Erbach, Kreisstadt",64711,61.53,6995
"Grafing b.München, St",85567,29.57,6929
"Solms, Stadt",35606,34.05,6797
"Lorsch, Karolingerstadt",64653,25.24,6968
"Grünstadt, Stadt",67269,18.09,6857
"Zehdenick, Stadt",16792,223.06,6732
"Bad Soden-Salmünster, Stadt",63628,58.6,6838
"Eichstätt, GKSt",85072,47.78,6884
"Asperg, Stadt",71679,5.8,6761
"Weißenhorn, St",89264,53.72,6661
"Haßfurt, St",97437,52.66,6767
"Erbach, Stadt",89155,63.29,6634
"Hilpoltstein, St",91161,89.71,6556
"Philippsburg, Stadt",76661,50.54,6495
"Tornesch, Stadt",25436,20.61,6784
"Höchstadt a.d.Aisch, St",91315,70.87,6687
"Beverungen, Stadt",37688,98.09,6722
"Bergen, Stadt",29303,164.4,6727
"Lich, Stadt",35423,77.63,6764
"Vöhringen, St",89269,23.69,6763
"Pegnitz, St",91257,99.98,6805
"Bad Salzdetfurth, Stadt",31162,67.2,6789
"Neckargemünd, Stadt",69151,26.16,6799
"Tauberbischofsheim, Stadt",97941,69.29,6677
"Löningen, Stadt",49624,143.53,6612
"Wolfhagen, Stadt",34466,111.95,6520
"Landau a.d.Isar, St",94405,84.39,6659
"Sendenhorst, Stadt",48324,96.95,6645
"Pfullendorf, Stadt",88630,90.5,6611
"Herbrechtingen, Stadt",89542,58.63,6661
"Burglengenfeld, St",93133,93.26,6731
"Bad Dürrheim, Stadt",78073,62.08,6781
"Wiesmoor, Stadt",26639,82.94,6751
"Rödental, St",96472,49.97,6628
"Waltershausen, Stadt",99880,60.62,6604
"Östringen, Stadt",76684,53.28,6372
"Quakenbrück, Stadt",49610,17.96,6635
"Weilburg, Stadt",35781,57.5,6546
"Herzberg am Harz, Stadt",37412,71.88,6674
"Velen, Stadt",46342,70.75,6396
"Montabaur, Stadt",56410,33.77,6773
"Möckern, Stadt",39291,523.94,6421
"Holzgerlingen, Stadt",71088,13.39,6573
"Dinklage, Stadt",49413,72.81,6404
"Plattling, St",94447,35.9,6475
"Krumbach (Schwaben), St",86381,44.64,6565
"Schleiden, Stadt",53937,121.67,6547
"Ettenheim, Stadt",77955,48.8,6681
"Wehr, Stadt",79664,35.66,6670
"St. Georgen im Schwarzwald, Stadt",78112,59.84,6501
"Steinheim, Stadt",32839,75.69,6482
"Neustadt a.d.Aisch, St",91413,61.21,6654
"Winterberg, Stadt",59955,147.95,6421
"Treuchtlingen, St",91757,103.38,6361
"Altötting, St",84503,23.07,6749
"Brunsbüttel, Stadt",25541,65.2,6368
"Linden, Stadt",35440,22.77,6382
"Spaichingen, Stadt",78549,18.5,6445
